mot,definition_fr,traduction_en,exemple_fr,niveau,theme
autobus,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,autobus,Je place le mot 'autobus' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
avenue,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,avenue,Je place le mot 'avenue' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
bagage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,bagage,Je place le mot 'bagage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
balcon,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,balcon,Je place le mot 'balcon' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
balle,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,balle,Je place le mot 'balle' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
banque,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,banque,Je place le mot 'banque' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
basket,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,basket,Je place le mot 'basket' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
bateau,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,bateau,Je place le mot 'bateau' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
bebe,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,bebe,Je place le mot 'bebe' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
besoin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,besoin,Je place le mot 'besoin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
billet,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,billet,Je place le mot 'billet' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
boite,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,boite,Je place le mot 'boite' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
boulangerie,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,boulangerie,Je place le mot 'boulangerie' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
bouteille,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,bouteille,Je place le mot 'bouteille' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
bras,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,bras,Je place le mot 'bras' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
bureau,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,bureau,Je place le mot 'bureau' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
cadeau,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,cadeau,Je place le mot 'cadeau' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
caisse,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,caisse,Je place le mot 'caisse' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
calendrier,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,calendrier,Je place le mot 'calendrier' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
calme,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,calme,Je place le mot 'calme' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
camion,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,camion,Je place le mot 'camion' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
campagne,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,campagne,Je place le mot 'campagne' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
carrefour,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,carrefour,Je place le mot 'carrefour' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
chaise,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,chaise,Je place le mot 'chaise' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
chaleur,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,chaleur,Je place le mot 'chaleur' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
chemin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,chemin,Je place le mot 'chemin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
chemise,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,chemise,Je place le mot 'chemise' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
chapeau,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,chapeau,Je place le mot 'chapeau' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
chiffre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,chiffre,Je place le mot 'chiffre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
choix,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,choix,Je place le mot 'choix' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
classe,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,classe,Je place le mot 'classe' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
client,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,client,Je place le mot 'client' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
cuisine,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,cuisine,Je place le mot 'cuisine' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
danse,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,danse,Je place le mot 'danse' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
dejeuner,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,dejeuner,Je place le mot 'dejeuner' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
dessin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,dessin,Je place le mot 'dessin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
devoir,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,devoir,Je place le mot 'devoir' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
dialogue,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,dialogue,Je place le mot 'dialogue' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
difference,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,difference,Je place le mot 'difference' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
dimanche,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,dimanche,Je place le mot 'dimanche' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
direction,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,direction,Je place le mot 'direction' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
discussion,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,discussion,Je place le mot 'discussion' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
docteur,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,docteur,Je place le mot 'docteur' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
douche,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,douche,Je place le mot 'douche' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
echange,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,echange,Je place le mot 'echange' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
eclair,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,eclair,Je place le mot 'eclair' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ecran,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ecran,Je place le mot 'ecran' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ecriture,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ecriture,Je place le mot 'ecriture' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
economie,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,economie,Je place le mot 'economie' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
emploi,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,emploi,Je place le mot 'emploi' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
entree,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,entree,Je place le mot 'entree' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
equipe,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,equipe,Je place le mot 'equipe' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
escalier,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,escalier,Je place le mot 'escalier' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
espace,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,espace,Je place le mot 'espace' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
etage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,etage,Je place le mot 'etage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
etudiant,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,etudiant,Je place le mot 'etudiant' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
etoile,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,etoile,Je place le mot 'etoile' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
exemple,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,exemple,Je place le mot 'exemple' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
exercice,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,exercice,Je place le mot 'exercice' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
fatigue,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,fatigue,Je place le mot 'fatigue' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
fenetre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,fenetre,Je place le mot 'fenetre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
feuille,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,feuille,Je place le mot 'feuille' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
film,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,film,Je place le mot 'film' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
fleur,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,fleur,Je place le mot 'fleur' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
foire,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,foire,Je place le mot 'foire' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
fromage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,fromage,Je place le mot 'fromage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
gare,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,gare,Je place le mot 'gare' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
geste,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,geste,Je place le mot 'geste' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
gout,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,gout,Je place le mot 'gout' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
groupe,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,groupe,Je place le mot 'groupe' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
hasard,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,hasard,Je place le mot 'hasard' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
heure,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,heure,Je place le mot 'heure' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
hiver,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,hiver,Je place le mot 'hiver' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
idee,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,idee,Je place le mot 'idee' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
image,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,image,Je place le mot 'image' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
immeuble,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,immeuble,Je place le mot 'immeuble' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
invitation,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,invitation,Je place le mot 'invitation' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
jardin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,jardin,Je place le mot 'jardin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
journal,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,journal,Je place le mot 'journal' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
lampe,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,lampe,Je place le mot 'lampe' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
langage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,langage,Je place le mot 'langage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
legume,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,legume,Je place le mot 'legume' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
lecon,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,lecon,Je place le mot 'lecon' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
lieu,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,lieu,Je place le mot 'lieu' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
liste,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,liste,Je place le mot 'liste' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
lit,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,lit,Je place le mot 'lit' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
livraison,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,livraison,Je place le mot 'livraison' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
location,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,location,Je place le mot 'location' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
magasin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,magasin,Je place le mot 'magasin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
maison,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,maison,Je place le mot 'maison' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
manteau,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,manteau,Je place le mot 'manteau' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
marche,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,marche,Je place le mot 'marche' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
matin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,matin,Je place le mot 'matin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
menu,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,menu,Je place le mot 'menu' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
message,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,message,Je place le mot 'message' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
meteo,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,meteo,Je place le mot 'meteo' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
minute,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,minute,Je place le mot 'minute' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
miroir,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,miroir,Je place le mot 'miroir' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
modele,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,modele,Je place le mot 'modele' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
montagne,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,montagne,Je place le mot 'montagne' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
musee,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,musee,Je place le mot 'musee' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
musique,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,musique,Je place le mot 'musique' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
natation,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,natation,Je place le mot 'natation' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
note,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,note,Je place le mot 'note' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
nuage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,nuage,Je place le mot 'nuage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
objet,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,objet,Je place le mot 'objet' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
occasion,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,occasion,Je place le mot 'occasion' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
odeur,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,odeur,Je place le mot 'odeur' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
offre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,offre,Je place le mot 'offre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ombre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ombre,Je place le mot 'ombre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ordre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ordre,Je place le mot 'ordre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
oreille,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,oreille,Je place le mot 'oreille' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
outil,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,outil,Je place le mot 'outil' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
paquet,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,paquet,Je place le mot 'paquet' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
papier,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,papier,Je place le mot 'papier' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
parent,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,parent,Je place le mot 'parent' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
parc,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,parc,Je place le mot 'parc' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
parole,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,parole,Je place le mot 'parole' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
passage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,passage,Je place le mot 'passage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
patient,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,patient,Je place le mot 'patient' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
pause,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,pause,Je place le mot 'pause' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
peinture,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,peinture,Je place le mot 'peinture' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
photo,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,photo,Je place le mot 'photo' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
piscine,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,piscine,Je place le mot 'piscine' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
place,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,place,Je place le mot 'place' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
plage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,plage,Je place le mot 'plage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
plan,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,plan,Je place le mot 'plan' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
plante,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,plante,Je place le mot 'plante' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
porte,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,porte,Je place le mot 'porte' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
pratique,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,pratique,Je place le mot 'pratique' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
prix,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,prix,Je place le mot 'prix' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
professeur,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,professeur,Je place le mot 'professeur' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
promenade,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,promenade,Je place le mot 'promenade' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
question,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,question,Je place le mot 'question' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
radio,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,radio,Je place le mot 'radio' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
raison,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,raison,Je place le mot 'raison' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
repas,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,repas,Je place le mot 'repas' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
reservation,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,reservation,Je place le mot 'reservation' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
reveil,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,reveil,Je place le mot 'reveil' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
route,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,route,Je place le mot 'route' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
sac,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,sac,Je place le mot 'sac' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
salade,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,salade,Je place le mot 'salade' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
salle,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,salle,Je place le mot 'salle' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
saison,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,saison,Je place le mot 'saison' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
santé,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,santé,Je place le mot 'santé' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
service,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,service,Je place le mot 'service' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
signal,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,signal,Je place le mot 'signal' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
silence,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,silence,Je place le mot 'silence' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
soir,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,soir,Je place le mot 'soir' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
sortie,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,sortie,Je place le mot 'sortie' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
spectacle,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,spectacle,Je place le mot 'spectacle' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
station,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,station,Je place le mot 'station' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
stylo,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,stylo,Je place le mot 'stylo' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
sucre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,sucre,Je place le mot 'sucre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
table,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,table,Je place le mot 'table' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
tasse,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,tasse,Je place le mot 'tasse' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
taxi,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,taxi,Je place le mot 'taxi' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
telephone,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,telephone,Je place le mot 'telephone' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
temperature,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,temperature,Je place le mot 'temperature' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
temps,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,temps,Je place le mot 'temps' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
terrasse,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,terrasse,Je place le mot 'terrasse' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ticket,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ticket,Je place le mot 'ticket' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
train,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,train,Je place le mot 'train' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
trajet,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,trajet,Je place le mot 'trajet' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
travail,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,travail,Je place le mot 'travail' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
usine,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,usine,Je place le mot 'usine' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
valise,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,valise,Je place le mot 'valise' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
vitesse,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,vitesse,Je place le mot 'vitesse' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
visite,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,visite,Je place le mot 'visite' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
voisin,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,voisin,Je place le mot 'voisin' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
voyage,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,voyage,Je place le mot 'voyage' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
concentration,Mot frequent du niveau A2 utile dans le theme etudes.,concentration,Je place le mot 'concentration' dans une phrase d'entrainement TCF.,A2,Etudes
revisionnaire,Mot frequent du niveau A2 utile dans le theme etudes.,revisionnaire,Je place le mot 'revisionnaire' dans une phrase d'entrainement TCF.,A2,Etudes
autonomie,Mot frequent du niveau A2 utile dans le theme etudes.,autonomie,Je place le mot 'autonomie' dans une phrase d'entrainement TCF.,A2,Etudes
discipline,Mot frequent du niveau A2 utile dans le theme etudes.,discipline,Je place le mot 'discipline' dans une phrase d'entrainement TCF.,A2,Etudes
bareme,Mot frequent du niveau A2 utile dans le theme etudes.,bareme,Je place le mot 'bareme' dans une phrase d'entrainement TCF.,A2,Etudes
coherence,Mot frequent du niveau A2 utile dans le theme etudes.,coherence,Je place le mot 'coherence' dans une phrase d'entrainement TCF.,A2,Etudes
reformulation,Mot frequent du niveau A2 utile dans le theme etudes.,reformulation,Je place le mot 'reformulation' dans une phrase d'entrainement TCF.,A2,Etudes
vocabulaire,Mot frequent du niveau A2 utile dans le theme etudes.,vocabulaire,Je place le mot 'vocabulaire' dans une phrase d'entrainement TCF.,A2,Etudes
grammaire,Mot frequent du niveau A2 utile dans le theme etudes.,grammaire,Je place le mot 'grammaire' dans une phrase d'entrainement TCF.,A2,Etudes
conjugaison,Mot frequent du niveau A2 utile dans le theme etudes.,conjugaison,Je place le mot 'conjugaison' dans une phrase d'entrainement TCF.,A2,Etudes
pronom,Mot frequent du niveau A2 utile dans le theme etudes.,pronom,Je place le mot 'pronom' dans une phrase d'entrainement TCF.,A2,Etudes
